,Ticket,Problem_Abstract,Ticket_Type,Team,Ticket_Opened_Date,Ticket_Closed
222,299699980,Need Smoothing Interval Increased for ENO tickets for ANIRA devices,User,SMARTS/GFP_CPE,5/8/2021 0:22,4/1/2022 14:46
223,299746113,Requesting existing Qbot move to Micorsoft Team,User,TRUE (Ticket Rules Update Engine),5/10/2021 17:00,9/13/2022 10:46
224,299762957,"End user name is shown as ''unknown"" on ticket 299738862 ",User,SMARTS/GFP_CPE,5/11/2021 3:30,11/5/2021 14:54
225,299769337,Constantly getting  An Unexpected problem has occurred.,User,INCM (Voyence),5/11/2021 9:19,9/14/2022 13:48
227,299828111,Unable to connect to dllstxcfaraeztechm for Access Control list info,User,B2B VPN Viewer,5/12/2021 21:29,12/23/2021 10:42
229,300054888,Validate if DOJ FMCs (Firepower Management Center) is sending the sensors snmp polling to Nagios,User,NagiosXI,5/20/2021 21:56,11/11/2021 10:29
230,300074266,nm2727 - REST API access to EMEA Netbrain does not work,User,NETBRAIN - Other,5/21/2021 16:04,8/20/2022 23:41
234,300417706,It is taking 5 hours to have valid /tftpdir/action/latest on sndnec01,User,cback,6/3/2021 13:50,12/23/2021 10:42
235,300464228,Repurpose DUR/MESNM824 for IBM FMC Corp,User,SMARTS/GFP_CPE,6/4/2021 21:51,4/1/2022 14:22
236,300536312,Generating false alerts on down trunks for SWTADC_01,User,SMARTS/GFP_CPE,6/7/2021 21:10,4/1/2022 14:21
237,300554558,no tkts for WAPS/ Arcadis,User,SMARTS/GFP_CPE,6/8/2021 13:40,4/1/2022 14:21
241,300603516,SNMPv3 deployment for IBM Thomson Reuters client,User,SMARTS/GFP_CPE,6/9/2021 20:30,4/1/2022 14:20
242,300629335,"Customer IBM APMM would like AT&T to ticket on certain syslog messages received from certain F5 devices when a VIP is unavailable. Specific msg text with specific device IPs for ticketing is below. This customer is monitored by dms pollers bhx/franm355."" ",User,SMARTS/GFP_CPE,6/10/2021 16:12,4/1/2022 14:20
243,300658761,Received bulk alerts together and identified that delayed for long time,User,GESS SDWAN Support - Other,6/11/2021 12:06,4/1/2022 14:19
244,300662897,Traps not generated for Aruba Wireless Controllers,User,SMARTS/GFP_CPE,6/11/2021 15:36,12/27/2021 13:38
245,300760130,CA & SM Customer Inventory,User,"Customer Advocacy, SI&NS and Cybersecurity Data & Analytics",6/15/2021 14:53,1/27/2022 14:16
246,300808212,"Cisco IP/SLA Jitter pair often missing from VitalArt report - rerunning report sometimes resolves issue, sometimes doesn't",User,VitalNet Problems or Errors,6/16/2021 20:47,4/4/2022 12:10
249,300969526,Need MSS smarts servers update to syslog_ng filters (durnm215a.gcsc.att.com),User,SMARTS/GFP_CPE,6/22/2021 17:57,4/1/2022 14:17
250,301001359,,User,GTAC,6/23/2021 17:39,2/8/2022 14:47
257,301139729,CAHOUICALAB02R | monitoring issue,User,Express Ticketing,6/28/2021 18:58,12/23/2021 10:41
259,301197235,TRUE | Follow up for 194572 - Ticket auto-closure based on log updates is not working (VTS/UniCredit non-standard devices),User,TRUE (Ticket Rules Update Engine),6/30/2021 12:29,9/13/2022 10:50
260,301241273,New rule to move Auto-Detected tickets to a predefined Work Queue,User,TRUE (Ticket Rules Update Engine),7/1/2021 18:31,9/15/2022 3:19
261,301241426,New Rule Creation: Move _CERT Assets to GL-SUPT-IST3,User,TRUE (Ticket Rules Update Engine),7/1/2021 18:35,5/3/2022 11:50
263,301265182,True rule 1655 failed to update the ticket,User,TRUE (Ticket Rules Update Engine),7/2/2021 12:53,3/4/2022 9:49
266,301429709,Network Error (tcp_error),User,VitalNet Problems or Errors,7/8/2021 17:37,12/15/2021 12:29
268,301462905,Need updates to the FiberFast Dashboard,User,Global Delivery Data & Analytics,7/9/2021 18:14,2/17/2022 14:35
269,301525750,Customer AES - Doubled interface utilization values and duplicated exceptions,User,ATTLAS,7/12/2021 9:46,1/15/2022 10:01
270,301655380,TRUE 415 running multiple times on ENO/ILCM tickets,User,TRUE (Ticket Rules Update Engine),7/15/2021 17:28,9/14/2022 3:15
271,301662373,Update Ordering Cycle Time report/file,User,Global Delivery Data & Analytics,7/15/2021 20:44,8/19/2022 20:06
272,301662522,Orders Issued,User,Global Delivery Data & Analytics,7/15/2021 20:50,2/17/2022 20:35
273,301679848,create new hourly report for JP Morgan ANIRA service,User,TRUE (Ticket Rules Update Engine),7/16/2021 12:32,9/14/2022 9:14
274,301681828,ITONS Client TRUE rules.,User,TRUE (Ticket Rules Update Engine),7/16/2021 14:31,9/15/2022 3:24
275,301760370,Partner Records not displayed (Dallas B2B VPN) ,User,B2B VPN Viewer,7/19/2021 19:39,8/15/2022 22:19
276,301800464,Invalid CNR Jeopardy in IDAT,User,Global Delivery Data & Analytics,7/20/2021 21:47,5/12/2022 17:06
280,301894605,ISE WK | Devices added to bypass list are failing,User,Cisco ISE,7/23/2021 17:36,11/3/2021 20:44
281,301902816,Audit #22019 - GTAC password settings ,User,GTAC - Other,7/23/2021 22:05,12/23/2021 23:32
285,302028298,wrong netbrain hostname discovery parser for FPR-2130 firepower (xxxxxxx.xxxxxxx.2406 sysObjectID) devices,User,NETBRAIN - Other,7/28/2021 13:45,10/17/2022 11:32
287,302098158,Board additional devices for IBM Cooper Cameron,User,INCM (Voyence),7/30/2021 15:15,10/12/2022 16:20
288,302112234,ISE Amgen | Migration of ISE services from customer to AT&T,User,Cisco ISE - Other,7/30/2021 22:52,2/2/2022 14:45
290,302199175,Need True Rule restarted (624) ,User,TRUE (Ticket Rules Update Engine),8/3/2021 17:02,9/14/2022 5:04
292,302265660,Not able to work on automation libraries - getting copy paste  error ,User,INCM (Voyence) - Other,8/5/2021 15:27,11/26/2021 12:46
293,302281542,Enable automation of Spotlight data feed from Hatfield organization into Blount data lake.,User,Global Delivery Data & Analytics,8/5/2021 22:30,11/9/2021 21:33
294,302292821, Request to Retain GTAC Domains as per email - IBM Frontier Transition Project domain revocation will commence on Aug 7th ,User,GTAC,8/6/2021 8:41,2/8/2022 19:21
295,302294579,ISE IBM | Replace faulty BBUs on 2 MSE appliances in India,User,Cisco ISE,8/6/2021 10:42,1/25/2022 11:13
296,302395075,customer Chanel is not found in ART hub toolxxxxxxx/artv4/hub_chronic.phpcustomer Chanel is not found in ART hub tool -xxxxxxx/artv4/hub_chronic.php,User,ART,8/10/2021 12:40,10/1/2021 8:51
297,302400030,exclusion rules not working,User,VitalNet Problems or Errors,8/10/2021 16:13,3/31/2022 13:02
298,302430152,from poller durnm811c . not able to login the device RTP-N9K-A(xxxxxxx),User,SMARTS/GFP_CPE,8/11/2021 13:01,11/8/2021 10:12
300,302502259,No ticket cut for member 2 of stack switch down,User,SMARTS/GFP_CPE,8/13/2021 10:26,12/23/2021 11:27
301,302510354,Assistance Required to load assets missing in INCM (Voyence),User,INCM (Voyence),8/13/2021 16:35,11/25/2021 11:49
302,302592870,Mask restricted Keywords,User,BRAIN Web Site,8/16/2021 18:47,5/17/2022 7:04
303,302630242,Enable Action on rlpv11073 / rlpv11076 for Unisys,User,ACTION Suite - Other,8/17/2021 21:31,12/27/2021 14:29
304,302719205,"Prepend the problem abstract with ""AVPN LITE:""  of AVPN Lite customer tickets.",User,TRUE (Ticket Rules Update Engine),8/20/2021 11:52,9/13/2022 11:03
305,302727692,Wholesale Local (UNE-L Migration) Regulatory Report,User,Global Delivery Data & Analytics,8/20/2021 18:01,2/17/2022 14:56
306,302798118,Trap suppression trunk interface - INGBTSGGNIN07S07,User,SMARTS/GFP_CPE,8/23/2021 21:36,12/27/2021 8:37
307,302854553,Ticketing for FIB-2-FIBDISABLE: Fatal error messages required,User,SMARTS/GFP_CPE,8/25/2021 10:10,4/1/2022 12:24
308,302868024,VitalNet to TroubleShooter feed - POSSIBLE PROBLEM(S) ,User,VitalNet Problems or Errors,8/25/2021 18:40,4/4/2022 16:22
309,302869414,Protrack# 3067 TITLE: AOTS ticketing is delayed:  2  hr  4  min  FMnems9002  rlpv11560,User,SMARTS/GFP_CPE,8/25/2021 19:15,6/1/2022 12:01
311,302871249,ATTU reports load tables from SNOW to PowerBI systems,User,Global Delivery Data & Analytics,8/25/2021 20:08,11/30/2021 22:13
315,302931546,Add the following services to Nagios for the M&R Project ?,User,NagiosXI,8/27/2021 11:57,11/11/2021 10:19
316,303009503,True rule for TC-TELE-CON,User,TRUE (Ticket Rules Update Engine),8/30/2021 11:38,9/14/2022 7:13
319,303053423,APID-G7V-A1HX-E1A Custom1 internet Transport was down  but no Proactive ticket cut for it.,User,GESS SDWAN Support - Other,8/31/2021 13:45,11/18/2021 13:40
320,303093971,We have two grids in Kyndryl  -- corporate (which is working for xxxxxxx) and private cloud (which  is not working cause i dont think we ever added it to gtac - xxxxxxx).   ,User,GTAC,9/1/2021 15:01,5/2/2022 18:01
321,303100366,ART info is not populating for following Servier Monde devices,User,ART,9/1/2021 18:08,1/5/2022 18:25
322,303101682,List of devices need to be certified in SMARTS,User,SMARTS/GFP_CPE,9/1/2021 18:45,4/1/2022 12:30
323,303122873,ISE WK | Downloadlng files on behalf of WK,User,Cisco ISE,9/2/2021 8:47,3/16/2022 1:27
325,303177683,The august 2021 set of link usage for Sabadell Mexico account are incomplete.,User,VitalNet Problems or Errors,9/3/2021 21:11,12/15/2021 12:09
326,303179360,Attn Mohan / Power BI Report enhancement to support Advanced Features GOSS OC,User,Global Delivery Data & Analytics,9/3/2021 22:11,11/4/2021 17:12
