Ticket,Problem_Abstract,,
306490428,"GTAC password reset get red circle with line when click on password reset

",,
306469504,We are getting false alert for  J7O-VDA-HS03 SNMP agent is unresponsive,,
306488047,"Some articles that formerly came up in ET search, are no longer coming up. Kepler is able to see articles.

",,
306499980,"my GTAC ID status is locked

",,
306453954,"PAL is unable to verify routers / connect to routers to push configuration

",,
306510473,unable to lookup assets using the action integrated Look Up tool,,
306511305,ESPN 80975 SPOF cleared w/ old school RR,,
306510200,ESPN 80976 SPOF cleared w/ old school RR,,
306511306,PortlandTrail  81005 SPOF cleared w/ old school RR,,
306511309,BLMO ALRMS - TOUR'S START,,
306511310,BLMO ALRMS - TOUR'S END,,
306511313,DAILY T/U  - 2 -,,
306510711,"Domain password rules

",,
306482673,Please provide a list only of the ADMIN accounts from the Cisco ACS devices: ES1TACACS01 - xxxxxxx; i0ct-acssni-zaa - xxxxxxx,,
306512511,L6YX775530,,
306515478,NBCU Dry Creek,,
306517367,Requesting to grant me CA/CM scan access for IBM-IGA Blusky support,,
306514655,"GTAC reports for QEV / CBN - LSCS Reports

",,
306520644,DTV 4K HDR NBA SCRM@DNVR 2-3G 350 MBPS-XMITS & 2-500 MB DATAS,,
306520657,BON SECOURS WELLNESS ARENA WWE CK27,,
306525034,V220100082,,
306525053,Reference V220100063,,
306526353,Lucas Oil,,
306493655,Tampa Sinclair  Site Unreachable Lec tkt #  EN017970  and EN017969,,
306524642,"100% of DaaS tests are timing out yesterday and today 

",,
306525083,Attn: Mohan  RPA Check  No update for Flex MOVE missing load for 12:30 & 2:30,,
306514271,"Account is currently set to ""Terminated"" and is unusable.",,
306532398,"Unable to change password and it gives me ""Fatal error: Call to undefined method ""

",,
306536650,"Portland Trail V211200374  Bruce ""goodnight @ 01:10""",,
306536651,DAILY T/U  - 1 -,,
306536652,BLMO ALRMS - TOUR'S START,,
306536653,BLMO ALRMS - TOUR'S END,,
306516667,BFEC 508710,,
306536667,Jan E-link 1st pay period,,
306515968,Qlikview distribution service will not start on durdqc01.itservices.sbc.com - Would like to request a reboot - ( if it is memory issue ),,
306515426,"UD health check is not running. Just spinning. 

",,
306512840,UD Not working,,
306511298,"Receiving error when attempting password change

",,
306539570,"MCAP ""no login"" configuration for MechID: m79942 and m99532 on the following two dms servers for MCAP application",,
306541510,"Delete below devices manually from Vitalnet Suite tool for WPP customer.
UKWBRNRT001
UKWBRNRT002
UKWBRNSW001
UKWBRNSW002
UKWBRNSW003
UKWBRNSW004


",,
306539113,"Need Access for GTAC Reports

",,
306541541,Delete devices manually from Voyence tool for WPP customer.,,
306464313,PCI =  13765...Jan  5 2022 12:30AM (ET) - Jan  5 2022  2:30AM (ET),,
306523497,PCI13773 JAN 6TH-3 AM-5AM ET,,
306515325,HSTN01S-14 / NWOR1-8 DOWN,,
306541668,Delete below devices manually from Netrain tool for WPP customerUKWBRNRT001 - xxxxxxxUKWBRNRT002 - xxxxxxxUKWBRNSW001 - xxxxxxxUKWBRNSW002 - xxxxxxxUKWBRNSW003 - xxxxxxxUKWBRNSW004 - xxxxxxx,,
306513337,HSTN01S-10 / LSU SEC-12 DOWN,,
306513339,ATLN01S-13 / MOBLAL-10 DOWN,,
306510186,TENNIS CHANNEL BFEC607137 DOWN    Zayo TT# TTN-0005569261,,
306510184,BALLYs Santa Monica BFEC699267 down. Zayo TT# TTN-0005569239,,
306517855,**NWOR1/22 - BW01AS/3<BMP# 210501264>BFEC598261,,
306497761,Requesting Read-Only access to server CLDPRD0SQL00847\PD_ECCRIX01 - dB IPBB,,
306508630,ISE AMGEN | server usas11dc-ise2-app showing no data on the portal,,
306547188,"Service Monitor Issue

",,
306543068,"Please update ""Global GCSC Base Domains"" Domain Role Group

",,
306547310,Attn: Mohan  RPA Check  No update for Flex MOVE missing load for 10:30,,
306545069,PSSI 2/26/22 1500 - 2215 X15,,
306545066,PSSI - 2/25/22 1530 - 1915 X15,,
306532528,V220100035 SEC: ALABAMA vs FLORIDA - SCHOOL PRODUCTION,,
306545071,ESPN UNIV OF FLORIDA/SEC 1/5/22 1500 - 2330,,
306545061,CBS NFL DATA WEEK 18 - 1/7/22 8AM - 1/9/22 2200,,
306545057,CBS NFL DATA  WEEK 18  - 1/7/22 8AM - 1/9/22 2000,,
306545058,CBS NFL DATA WEEK 18 - 1/7/22 8AM - 1/9/22 2000,,
306553575,ISE WK | Create ISE License Report,,
306555496,Dome Prod. NHL Toronto at N.Y. Islanders 01/22  8 X JPEG150 Circuits UBS Arena,,
306529102,I have just lost the ability to lock and scrub closed tickets - please restore.,,
306484176,Netbrain - Issue with AudioCodes devices ( Eli-Lilly Tenant),,
306560605,"Gtac password blocked/expired 

",,
306560975,V211200515 CBB Big Ten _ Maryland vs Il,,
306570216,L6yx781610,,
306573029,BFEC 698761,,
306517227,change password for LOCAL userID,,
306573165,"not able to access to connect to devices for this customer E. I. DU PONT DE NEMOURS AND COMPANY

",,
306576565,Telstra 3 NFL games from Encompass to PSSI Teleport for Julie Fiedler 01/09/22,,
306577549,Reference V220100148,,
306577552,Reference V220100149,,
306577556,Reference V220100150,,
306577738,BFEC 508122,,
306577559,"V191200160, Providence Park",,
306577563,"V191200121, PNC Stadium",,
306575088,gtac account/tacacs/profile is locked ,,
306579793,**PHNXAZ01AS/28 -- UFC APEX STUDIOS/24<WMS# 210700192>BFEC576244,,
306580761,**ATLN01AS/15 -- CHCG01AS/16<WMS# 210700348>BFEC508710,,
306580773,**DTRT03S_32C P130/S2 - NWRK03S_32C P130/S2<WMS# 210700290>L6YX781610,,
306565628,**LA20AS/8 - PHNX0AS/2<BMP# 210701003>BFEC558466..DWN,,
306581770,ESPN CBB: SEC: Kentucky vs Vanderbilt School Production PEGAD VAN_TX01,,
306598049,ESPN CBB: SEC: from Texas A&M 1/8 & 1/11 Neang requesting confirmations,,
306595130,Tickets are not loading ,,
306594668,"unable to pull tickets in UD

",,
306598249,First Mile Check ESPN V220100154 ARK @ TX A&M D-81308,,
306599477,Reference V220100157,,
306599479,Reference V220100159,,
306600708,Reference V220100151,,
306600710,Reference V220100152,,
306600719,Reference V220100160,,
306600724,Reference V220100161,,
306600725,Reference V220100162,,
306600727,Reference V220100163,,
306601737,Reference V220100164,,
306601739,Reference V220100165,,
306601744,Reference V220100166,,
306601747,Reference V220100167,,
306600717,BFEC572657 ckt down,,
306600718,BFEC597027 ckt down,,
306449736,"Reject task assigned to Automation by mistake.

",,
306454506,"OTC needs to be updated on SR level

",,
306460993,"my coworker -  Michael Sladek  -MS2989 - does not have all the permissions we do,  in the client request, wfm project ( when opening  the preform admin review -it is blocked out, also, on the main page, - requestor last name & 1st, does not let him assign",,
306456569,"Set OL 7896709 into status canceled. Ol was already canceled in ePro. All Assets are in status Deleted.

",,
306458848,"Update of Value Sets - 3PTY_SUPPLIER_MAPPING - Suppliers for GPS to GAIM feed

",,
306458997,"Update of Value Sets - 3PTY_PREFIX for GPS to GAIM feed

",,
306614973,"ATT Reference	P220100017",,
306457265,"I have two Service requests I need to cancel and the cancel is greyed out.  

",,
306614768,ESPN CBB SEC Arkansas vs LSU School Production PEGAD LSU_TX01,,
306460792,"Canceled items still showing in my inbox

",,
306465156,"CLLI hung for SRs 7894147 & 7894146

",,
306487733,"Please cancel OL 7862952 / Advanced Energy Industries

",,
306487696,"Update of Value Sets for 3PTCOE - 3PTY_LINE_TYPE_MAPPING for GPS to GAIM feed

",,
306493623,"AT&T Solutions, SR 7671591  OL7885267. Please set the OL to canceled status, I am not able to cancel in Ingot. 

",,
306616471,Reference V220100181,,
306617606,Reference V220100182,,
306473709,"Upload Order list failed

",,
306493631,"please reopen SRLine and SR for this request 7926866

",,
306617607,Reference V220100183,,
306617608,Reference V220100184,,
306560223,Server sndjs913b.itservices.sbc.com was migrated to NCDURH4IGEMSA38.CAD.CCI.ATT.COM - several users lost access,,
306469952,"Asset Records updates on spread sheet 01/03/2022

",,
306479458,"Please put customer Sysco  Corporation - SR 7918217 / OL 7920037 to cancelled. 

",,
306622618,BLMO ALRMS - TOUR'S START,,
306622619,BLMO ALRMS - TOUR'S END,,
306622620,DAILY T/U  - 3 -,,
306627056,"GTAC - Domain Grant Audit Report request - Health Check Q1 2022

",,
306622406,"I can not login to JPNIDNSIT0001R using the password Noon!JP1

",,
306623885,"Mech ID m45008

",,
306454207,Firewall is missing in VitalNet:WEL03105FPR01 - xxxxxxx  (FXOS)Visible only ASA FW: WEL03105FW01 - xxxxxxxCompliance team cannot move FW into BAU (EOS) until FXOS isnt boarded into Vitalnet.Please board it. Thanks,,
306628415,"Delete the device from Voyence database

",,
306495957,"Update of 2 Value Sets - 3PTY_PREFIX  and  3PTY_SUPPLIER_MAPPING  for GPS to GAIM feed

",,
306628102,Need to add one device for WPP account,,
306496047,"Please set up new mech id M15768 the same as M42831 -  this is so the Bot can process our assets for installs.   If you need to make a password, Please make password:  Georgia65, Please if any questions, contact :  Sapna Nakka -xxxxxxx.  Thanks in ",,
306485170,PCI =  13768...Jan 10 2022  5:00AM (ET) - Jan 10 2022  6:00AM (ET),,
306595296,V211200506 # 80763 NO LINK,,
306598041,DOME - TMOBILE - 1/11/22 2000 - 1/12/22 0130,,
306631979,ESPN CBB SEC Vanderbilt vs Georgia School Production PEGAD UGA_TX01,,
306598763,ATTSNET PITTSBURGH AMERICAN AIRLINE CTR 1/8/22 1036 - 1700,,
306497214,"Asset Records updates on spread sheet 01/04/2022

",,
306630005,Attn: Mohan  RPA Check  No update for Flex MOVE missing load 2:30 Load (FRI) and 7:30 this AM,,
306629287,Work Order LDV052121061 - LDVMG Transport: ATLNGATL - KSCYMO09 IOC,,
306634920,"Create nologins allowed commands for mechid m77446 on DMS system rlpv12649

",,
306601594,CBS NFL WEEK 18 1/9/22 8AM - 1630,,
306514636,"Can not read data from p1gps1d4.vci.att.com for customer id:235925

",,
306508984,"incorrect account type in OL

",,
306601598,CBS NFL WEEK 18 1/9/22 1130  - 1930,,
306601599,CBS NFL WEEK 18 1/9/22 1215 - 1930,,
306600629,CBS NFL WEEK 18 - 1/8/22 1630 = 1700 X30 - TEST,,
306601595,CBS NFL WEEK 18 - 1/9/22 830 - 1630,,
306601601,LTN FULL TIME AIS FEED 10 MB,,
306600630,CBS NFL WEEK 18 1/8/22 1500 - 1530 X30 TEST,,
306601600,LTN TEXAS A&M/REED ARENA 1/7/22 8AM - 1/18/22 0800,,
306601602,LTN - FULL TIME AIS FEED 10MB 1/7/22 - 1/17/50,,
306601596,CBS NFL WEEK 18  1/9/22 1200 - 1930,,
306601603,ESPN - 1/9/22 1400 - 2000,,
306601604,ESPN 1/9/22 1400 - 2000,,
306598042,DOME - T-MOBILE 1/11/22 2000 - 1/12/22 0130,,
306601605,ESPN 1/10/22 1400 - 1/11/22 0200,,
306601607,ESPN 1/10/22 1400 - 1/11/22 0200,,
306512851,"UD showing error ""ERROR: AOTS ticketing system returned an error: not well-formed (invalid token) at line 1, column 3, byte 3 at /opt/app/idevperl/lib/site_perl/5.28.0/x86_64-linux-thread-multi/XML/Parser.pm line 187.""",,
306573017,**LA01AP/9 - TOYOTA ARENA CK27 PERM  11-1<WMS# 210700277>BFEC568294,,
306573706,Auto Club Speedway 3020's down WFA TKTS- 210701026 and 210701037,,
306639412,"Unable to access several pollers that were accessible pre-Kyndryl

",,
306595297,KSCYMOMDX03P_32c P132/S4 100GbE SNFCCAMDX03P_32C P129/S1 L6YX969485 [,,
306520904,"Since December 2021, I cannot log in GPS. I am getting the message:  ""A login does not exist for your ATTID, for the Global Provisioning System. Please contact production support"". Last year, before December I used to log in GPS without any problem.

",,
306565630,**LA10AP/3 - WASH0AP/2<BMP# 210700731>BFEC565568..DWN,,
306596083,"L6YX882020, 3011EL100GLSANCA03SNFCCA21",,
306606526,BFEC578216 DOWN.,,
306636676,GTAC Problem,,
306634323,"Unable to log in into Kyndryl DDI

",,
306541222,Add Tools_RO domain group to MSS_GTA,,
306598376,LSAN02AP 33 - STTL1/3-1<BMP# 210800568>BFEC547334,,
306637920,After enable PW change I enter new password and receive authentication failed error. Account is now locked,,
306600621,**LSAN01AP4 - SNFC01AP/1<BMP# 210800655>BFEC552584,,
306596091,BFEC561578  LSANCAMDX02AP 34 10GbE PTLD1 11-1,,
306596094,L6YX983124 PHNXAZMDX03S_32C P130/S2 100GbE SNFCCAMDX03S_32C P130/S2,,
306584482,**AUDI FLD<BMP# 210701770>,,
306597658,BFEC547482,,
306597661,BFEC519418 DNVRCOMDX01AS 4 10GbE STTL1 18-1,,
306643373,Dallas Stars V220100196  01/17/22  Correct start & end time per Kyle Judkins,,
306644705,WORKED W/WAYNE VERIFYING VIDEO on Hunt 18-1 Kraken@ Avs coclor bars,,
306601597,CBS NFL WEEK 18 1/9/22 730 - 1630,,
306598043,DOME - T-MOBILE 1/11/22 2000 - 1/12/22 0130,,
306598045,DOME T-MOBILE 1/11/22 2000 - 1/12/22 0130,,
306643978,Test ticket; please cancel,,
306630446,CBS SUPER BOWL 2/4/22 1500 - 2/12/22 3AM,,
306573996,Requesting Alarm Suppression for State Farm Insurance starting at 7pm on Friday (1/7) and ending at 6am on Monday (1/10).,,
306642867,"JDSU RFC 6349 TCP Throughput Testing Tool issue  - please contact Nicholas Balk for testing nb1849

",,
306515801,"Receipt Assets into GPS is still in open status, although all the assets are received by CTDI team. Please close this task so that we can proceed with staging related tasks.

",,
306591358,"Some tickets work to load  and some not examples :  306548010 306557208, 306560085 , 306539662 even after clear caches and cookies ",,
306661426,BLMO ALRMS - TOUR'S START DVC INT,,
306661427,BLMO ALRMS - TOUR'S END,,
306507768,Management tunnel down and keep getting unnecessary tickets,,
306640146,"Issue changing password

",,
306528399,"Asset Records updates on spread sheet 01/05/2022

",,
306650388,"No auto ticket for BGP down  AUTHGSRYD0004R/306649786

",,
306507873,Need alarm raised on asset USETE4ORLFL1001UJZZ01,,
306668261,Diamond Sports Grp. Bally-RSN Panthers@Canucks Rogers Arena Vancouver 1/21,,
306661428,DAILY T/U  - 4 -,,
306543741,"SR line is closed with wrong filled fields mistakenly request to reopen the SR-1

",,
306664236,PSSI NHL SEATTLE @ DALLAS 01/12/22 PSSI TELEPORT TO TURNER ENT.,,
306657805,Alarms are not being suppressed,,
306662696,PCI =  13787...Jan 20 2022 12:01AM (ET) - Jan 20 2022  4:00AM (ET),,
306581854,IPBB  ACCT_SUB_TYPE_CD FROM DSL_PROV (REMOVE) ,,
306663888,CBS NCAA AT AUBURN 1/22/22 12 NOON - 16430 X30 PEGAD,,
306663887,CBS  NCAA @ AUBURN - 1/22/22 11AM - 1630 X30 - AIR,,
306663894,CBS NCAA AT AUBURN - 1/21/22 8AM - 1900,,
306663883,CBS NCAA AT AUBURN ARENA - 1/21/22 1500- 1800 TEST,,
306615082,1ST MILE CHECK V220100028 - 80971,,
306545271,"In Amgen SR 7920305, in  Services service request line: Actual completion time need to be changed . Kindly reopen the SR so that i can modify it, Attached screenshot for your reference

",,
306549785,"Update of Value Sets - 3PTY_SUPPLIER_MAPPING - Suppliers for GPS to GAIM feed

",,
306676286,"ESPN CBB SEC TENNESSEE VS KENTUCKY 2 asi xmits, 2-asi rtns, & MIS Data",,
306486807,I am unable to view device details in action V3 website  it is giving me an error saying : Notice: Undefined index: attuid. I have all the required access to open dxc cambell devices,,
306642409,"Remove IGA Access, AMGEN

",,
306508020,Fail over all assets beginning with LHE on fmclient alpmsua8 reporting to ALPOVO22,,
306682781,DAILY T/U  - 4 -,,
306682782,BLMO ALRMS - TOUR'S START,,
306682783,BLMO ALRMS - TOUR'S END,,
306609986,Unable to load ticket in UD,,
306516725,ISE IBM | IGA EMEA ISE Device Add,,
306518190,ISE IBM | IGA EMEA ISE Device Add,,
306516273,Not receiving the Pager alerts for Incidents on UD Tool in our mobile,,
306688988,"Submitted new GTAC domain access requests, not able to approve them as the owner/approver of the domains

",,
306507401,ISE WK | Glendale 450: Turn on 802.1x Enforcement,,
306655566,"GTAC AAA log report

",,
306544770,Duplicate tickets are being triggered on many ADI assets even if there is active ticket,,
306557024,"Asset Records updates on spread sheet 01/06/2022

",,
306694521,Lucas Oil Stadium slot 10,,
306692139,CHRL01P-29 / DISNEY KINGS MT-11 DOWN,,
306542680,"OL Cancelation, Customer: Dept. of Veterans Affairs (NTWX MTIPS)

",,
306544891,"In Amgen SR 7912936, in  Services service request line: SLA negotiated due date need to be changed . Kindly reopen the SR so that i can modify it, Attached screenshot for your reference

",,
306548654,"Userid momenrn1 has an error for Client Request System

",,
306522893,"Unable to cancel CR#5007752

",,
306511316,PCI 13771 JAN12TH 2022-JAN12TH-22 12 AM -3AM EST,,
306645340,PCI =  13789...Jan 12 2022  4:00AM (ET) - Jan 12 2022  9:00AM (ET),,
306601145,**HSTN303S/2 - PHNX301S/1..L6YX972958,,
306456448,PCI =  22223...Jan 11 2022  9:00PM (CT) - Jan 12 2022  6:00AM (CT),,
306517841,?*SEC U OF FL<LEC# 210501230 / CKT# 54/KGGS/700002//SB>,,
306698513,BMP Training,,
306698526,Orders for today,,
306522346,ISE EliLilly | Certificate install in Bangalore India for Eli Lilly,,
306696804,"Unable to Access Application in Firefox

",,
306699588,"WFA ADE tickets not pulling up

",,
306702956,BFEC 505097,,
306703006,"We are seeing more and more examples whAere CLOs are not shoing an EAN Envelope for automated submission, eventhough order is an ETTC Site. Example CLO BAS691377001. ",,
306643840,"unable to request GTAC access from website.

",,
306703445,"After sigon V-Edge continues to spin 

",,
306677849,need to activate UID RX2365,,
306704901,BFEC 521796,,
306706319,having issues with MSS_WOKA,,
306578085,"ctdi_input program

",,
306514059,Ticket/alert not created for site hard down issue ,,
306710440," I cant access to xxxxxxx

",,
306711438,Create nologins allowed commands for mechid m77446 on DMS system rlpv12663,,
306705825,"Please transfer GTAC UserID m10478 to new owner sb287p (Steven Bussan). 

",,
306659094,"Need to modify addtac templates in 3 pollers and update in all the routers

",,
306696562,need two switches' ports rediscovered,,
306614153,Unable to request access to some Customers and Domain.,,
306730464,Reference V220100185,,
306730469,Reference V220100186,,
306731601,Reference V220100187,,
306731604,Reference V220100188,,
306731607,Reference V220100312,,
306731612,Reference V220100313,,
306731617,Reference V220100314,,
306731621,Reference V220100315,,
306732417,Reference V220100316,,
306726141,not able to close the ticket 000000306582259,,
306732421,Reference V220100317,,
306732425,CANCELATION V220100234 - V220100235 - LSU VS FLORIDA,,
306544320,PCI =  22303...Jan 12 2022  8:00PM (CT) - Jan 13 2022  6:00AM (CT),,
306707973,"I cant change password with php error

",,
306577832,"I am not able to search and see some devices in Action tool. 

",,
306734415,GPM Front Door - Customer Profile Submission ,,
306736210,BFEC 513118,,
306737088,BFEC 519338,,
306547799,"AZURE Open Fault Ticket not displaying

",,
306731888,BFEC508710 dow BMP  TT # 211300976,,
306740928,L6YX781610,,
306742116,ESPN NHL @ CAR 01/13/22  6 - XMITS TO ESPN BRISTOL,,
306743052,BFEC 505188,,
306523501,PCI 13774 JAN13TH 12:30 AM -2:30 AM ET,,
306550912,Request to increase tftp timeout on new IF Flex pollers,,
306706546,New York Life Insurance device USNYLIXHLNJ01CGIV01 failed to generate a incident ticket for outage,,
306707541,No auto detected ticket for device USAAI1-AP3702-01-01 Down.,,
306510914,"Unable to login into the devices in ACAT where it is giving an error as Authentication failed. however my teammates are able to access the same devices. Also mentioning few sample devices. (SYCUSDENOC01L2S016,  ANRLAG0151)

Note: I am able to ping the dev",,
306546983,"Express ticketing issue, opening tickets to the incorrect place. 

",,
306639272,unable to close GOVTSVCS tickets with Resolution Set MIDS OutIn-500,,
306753933,BLMO ALRMS - TOUR'S START,,
306753934,BLMO ALRMS - TOUR'S END   TCWD 1/13/22,,
306753935,BLMO ALRMS - TOUR'S END,,
306753157,"Can't access to durnec03.gcsc.att.com AND sndnec01.gcsc.att.com

",,
306753942,Diamond 74805 PCI REROUTE-ERIC  DVC INT,,
306753943,Diamond 72042 PCI REROUTE-ERIC  DVC INT,,
306755319,FOX 81687 SPOF REROUTE,,
306755320,PSSI 81684 SPOF REROUTE,,
306734582,the tool doesn't download the MDS id up to date,,
306730929,"Users Can't access the OBM Application on Server: NCDURH4CDIOBA01 (xxxxxxx) ncdurh4cdioba01.itservices.sbc.com 

",,
306658964,poller sndnec01.gcsc.att.com is down / unresponsive,,
306694856,"Unable to change password - confirm password field is greyed out

",,
306701119,"No AOTS ticket for DHLIJMANY01_S101-1

",,
306676446,Attn: Mohan Please change the notification email used in FFLOW for when a Routeit request is entered that the email notification of the request flows to resource mailbox of xxxxxxx instead of xxxxxxx,,
306758746,"Hi Team, customer is concerned that device FRDANDRUEFR01PVCE01_SHA is not being monitored via AT&T monitoring system. Could you please confirm, if this is the case?

",,
306760872,"Rec'd call from John 615-289-4319 CHI Ctr. Omaha, NE RE: t/u CK27 Truck",,
306570222,PCI =  13778...Jan 14 2022  1:00AM (ET) - Jan 14 2022  3:00AM (ET),,
306456455,PCI =  22230...Jan 13 2022  9:00PM (ET) -  Jan 14 2022  6:00AM (ET),,
306560096,ISE Amgen | Add new device to Cisco ISE,,
306498168,Incorrect bandwidth utilization reports for January 2022 Banco Sabadell,,
306763784,R'cd call Josh 937-423-1695 @ CLMBOH pop re: MD800 shelf installation,,
306739557,**CAJUN DOME/23 - HSTNT01AS/6<WMS# 211205497>DOWN,,
306583313,No ticket triggered on FLRVA01-4507E-07-SW1  down at 1-7-2022 2:00 am GMT,,
306753930,DAILY T/U  - 4 -     TCWD 1/13/22,,
306763941,Can't open Unified Desktop in Firefox,,
306753931,DAILY T/U  - 4 -,,
306766858,"Two VitalNet servers/pollers are down : vn11852.acss.att.com and vn11854.acss.att.com

",,
306742706,NBC AMERICAN SONG CONTEST 3/14/22 8AM - 5/9/22 9AM,,
306745698,BALLY SPORTS NORTH TIMBERWOLVES/ATL 1/19/22 1030 - 0000,,
306745703,BALLY SPORTS NORTH/DETROIT 2/3/22 9AM - 2/3/22  2330,,
306770471,bfec598261,,
306771119,LTN Global CAPITAL ONE ARENA MIS DATA 01/21/22 - 01/23/22,,
306771123,Reference V220100374,,
306771120,Reference V220100373,,
306771127,Reference V220100375,,
306596308,ISE IBM IGA | Need to check if the IBM internet is configured correctly or not.,,
306591276,ISE AES | Please implement this change (the MDS attached) on 1/12 at 8am EST. The change will be approved by CAB. thank you ,,
306771903,CHI Health Ctr CK-27,,
306769331,"MechID Sponsor no longer with company and MechID password has expired

",,
306527000,A consistently large percentage of configuration retrievals failures occurs during benchmark,,
306766583,"Intermittent issue when opening tickets: e.ticket_data is undefined- There was an unspecified error 

",,
306769621,"after device refresh there was change of hostname. There is need to update.

",,
306585831,"Please close Task # 76697160 in CR 4906963 SR 7712235 .. Need to close and complete this project request

",,
306585949,"Please close Task # 77372851 in CR 4921730 SR 7766654  .  Need to close this project request

",,
306628547,"Some WFM tasks prevent other tasks from being open

",,
306789514,bfec 512491,,
306790056,SPOF,,
306791450,Reference V220100422,,
306791455,Reference V220100423,,
306761533,NASCAR/IMSA ROLEX 1/19/22 6AM - 1/31/22 8AM,,
306794986,Reference V220100424,,
306790364,"disable rf384m GTAC account

",,
306794988,Reference V220100425,,
306761529,UNIVISION/USA vs HONDURAS 2/2/22 1630 - 2230,,
306583571,"Asset Records updates on spread sheet 01/07/2022

",,
306760472,UNIVISION/USA vs HONDURAS 2/2/22 1630 - 2230,,
306760467,UNIVISION/USA vs HONDURAS 2/2/22 1630 -2230,,
306760468,UNIVISION/USA vs HONDURAS 2/2/22 1630 - 2230,,
306732788,BALLY SPORTS FL 1/25/22 1500 - 1/26/22 0200 X30,,
306732783,BALLY SPORTS FL - 1/25/22 1500 - 1/26/22 0200 X30,,
306788923,ORACLE PARK-11 / SNFC01P-30 DOWN,,
306732780,BALLY SPORTS FL 1/25/22 1500 - 1/26/22 0200 X30,,
306809631,"poller sndnec01 down

",,
306813022,"1st Mile completed , V220100247 CBB: Indiana @ Purdue",,
306813023,L6YX 309029,,
306659075,"Kindly Cancel the below SR's in GPS
7790871
7790891

",,
306517157,"Unable to Open the Particular Asset -  deleting SR for this asset name PMUDCOVG202P01

",,
306670432,"Requesting new user access for ka807b to mirror that of my own (af1895) for Production (PROD) Global Provisioning System State of Tennessee

",,
306658315,"Invalid old POs showed linked to records and the cancel sent only after new PO loads

",,
306663046,"Need to add site location details as GPS returns : No possible city-state-zip combination found

",,
306662537,"PLEASE re-open three Service Request line 7912642-1,7912646-1,7912640-1

",,
306665709,"update actual completion date  for SR line 7671097-1

",,
306671457,"need to close order  CR#5008224||REF#SCTASK2956287 DUP||SR#7928222

",,
306673655,"Asset Records updates on spread sheet 01/11/2022

",,
306567096,"GTAC reports neede for LSCS assessments 

",,
306608922,Internal Server Error,,
306467756,"IOS mismatch on CFG for 4331 with BVOIP

",,
306828113,"ISAE3402 EFS Audit -  - GTAC follow up audit reports 

",,
306762589,Requesting alarm suppression for State Farm Insurance starting on Friday (12/10) at 7pm CT until 6am CT on Monday (12/13).,,
306829607,"Devices are not removed from Voyence tool

",,
306676706,"Please close wfm task id : 79482086 /Task name as Process Equipment Retrieval

",,
306631211,"please restore my GTAC account access.

",,
306467671,"Self diagnose is not working or timing out 

",,
306830142,V220100258 CBB: Purdue @ Illinois,,
306695170,"Please activate account RX2365

",,
306695327,"Unable to access orders - receiving message: permissions service failed.  Please contact support.

",,
306692617,"Preferred Supplier needed for 150 OLLs

",,
306835715,Reference V220100439,,
306835722,Reference V220100440,,
306835726,Reference V220100445,,
306835728,Reference V220100446,,
306835731,Reference V220100447,,
306835733,Reference V220100448,,
306836481,Reference V220100449,,
306836485,Reference V220100450,,
